Actor,Year
NASA,2024
NASA,2024
NASA,2024
NASA,2024
SpaceX,2023
Planetary Transportation Systems (PTS),2021
NASA,1968
NASA,1969
NASA,1969
NASA,1969
NASA,1970
NASA,1971
NASA,1971
NASA,1972
NASA,1972
NASA,2007
Israel,2019
India,2008
India,2019
India,2021
China,2007
China,2010
China,2013
China,2018
China,2020
China,2014
China,2023
NASA,1994
JAXA,2021
NASA,2011
ispace/Draper Lab,2021
ispace/Draper Lab,2023
Japan,1990
ESA/CSA/JAXA,2026
NASA,2012
South Korea,2022
USSR,1965
USSR,1966
USSR,1969
USSR,1969
USSR,1959
USSR,1959
USSR,1959
USSR,1963
USSR,1965
USSR,1965
USSR,1965
USSR,1965
USSR,1966
USSR,1966
USSR,1966
USSR,1966
USSR,1966
USSR,1968
USSR,1960
USSR,1970
USSR,1970
USSR,1971
USSR,1971
USSR,1972
USSR,1973
USSR,1974
USSR,1974
USSR,1976
Russia,2021
Russia,2024
Russia,2025
NASA,2013
NASA,2009
NASA,2009
NASA,2024
NASA,2024
NASA,1966
NASA,1966
NASA,1967
NASA,1967
NASA,1967
ROSCOSMOS,2022
NASA,1998
NASA,2009
"Ball Aerospace/Caltech,JPL/University of Oxford/NAU/UCF/Pasadena City College/Brown University",2023
USSR,1970
USSR,1973
NASA,1973
NASA/Intuitive Machines,2021
NASA/Lockheed Martin,2024
NASA,2023
JAXA,2021
NASA/Astrobotic,2021
NASA,1971
NASA,1972
NASA,1958
NASA,1958
NASA,1958
NASA,1958
NASA,1959
NASA,1959
NASA,1959
NASA,1960
NASA,1960
NASA,2022
China,2018
NASA,1962
NASA,1962
NASA,1962
NASA,1964
NASA,1964
NASA,1965
NASA,1965
NASA,
Japan,2007
NASA/Boeing,2021
JAXA,
Europe,2003
NASA/Aerojet Rocketdyne/Boeing/Northrup Grumman,2024
NASA,1966
NASA,1966
NASA,1967
NASA,1967
NASA,1967
NASA,1967
NASA,1968
USSR,1958
USSR,1959
USSR,1958
USSR,1958
USSR,1960
USSR,1963
USSR,1964
USSR,1969
USSR,1965
USSR,1960
USSR,1968
USSR,1969
USSR,1963
USSR,1964
USSR,1970
NASA/Honeybee Robotics,2022
China,2013
USSR,1965
USSR,1968
USSR,1968
USSR,1969
USSR,1970